Odds 1,Odds 2,Odds 3,Odds 4,Results
5,12,10,3,50
10,12,8,4,50
8,12,6,3,50
12,4,8,5,50
8,5,10,8,50
12,5,7,8,50
12,6,3,6,50
6,12,12,5,50
8,4,12,6,50
12,8,12,3,50
7,7,10,5,50
10,12,3,10,50
5,12,6,10,50
7,10,10,3,50
8,7,12,3,50
7,8,10,10,50
10,3,5,12,50
12,4,4,12,50
12,7,3,8,50
10,4,10,8,50
12,10,8,3,50
12,8,8,10,50
7,7,6,12,50
8,10,12,4,50
10,8,5,6,50
7,10,6,10,50
5,7,12,8,50
5,10,12,6,50
10,8,6,7,50
4,12,7,12,50
10,6,6,8,50
12,12,12,6,50
8,10,7,10,50
12,10,4,10,50
6,8,10,8,50
10,10,10,6,50
8,12,8,3,50
12,12,5,3,50
5,10,7,12,50
7,5,12,8,50
8,10,3,12,50
8,6,10,3,50
6,10,5,7,50
12,6,6,7,50
10,3,12,5,50
12,5,10,8,50
8,12,4,10,50
3,12,7,10,50
12,4,7,7,50
10,5,8,6,50
10,12,7,6,50
4,10,10,6,50
8,6,6,10,50
10,3,8,12,50
10,5,12,12,50
7,8,6,7,50
3,8,12,12,50
5,12,5,12,50
6,12,3,8,50
10,7,12,10,50
12,8,3,6,50
7,7,10,8,50
8,10,10,6,50
8,8,7,7,50
10,5,4,12,50
10,10,12,6,50
10,7,8,12,50
12,3,8,5,50
12,10,7,5,50
7,12,10,3,50
4,12,10,12,50
10,10,5,3,50
6,8,8,10,50
3,10,8,12,50
7,10,5,12,50
12,12,6,4,50
12,12,8,3,50
5,10,10,12,50
12,3,5,8,50
12,3,4,12,50
12,10,3,12,50
8,12,12,4,50
7,12,6,10,50
12,12,4,5,50
7,4,12,7,50
5,12,12,6,50
3,12,10,5,50
6,10,4,10,50
12,6,12,12,50
8,12,8,6,50
3,12,5,12,50
5,12,4,7,50
10,12,10,6,50
12,4,10,7,50
12,5,6,5,50
5,12,7,12,50
6,10,5,10,50
12,7,10,5,50
7,7,12,8,50
6,12,6,3,50
7,8,8,6,50
8,12,3,12,50
8,8,10,3,50
3,12,6,12,50
10,5,7,8,50
12,8,6,7,50
10,12,5,12,50
10,8,12,3,50
7,10,12,5,50
7,8,12,12,50
12,10,10,6,50
12,7,6,12,50
6,7,12,3,50
10,4,12,10,50
7,10,4,6,50
8,10,6,3,50
8,8,6,10,50
10,7,3,8,50
10,6,12,8,50
4,12,5,8,50
10,10,8,3,50
10,8,8,10,50
8,7,10,12,50
7,10,8,12,50
12,3,7,7,50
6,10,12,4,50
10,6,8,10,50
6,7,8,10,50
12,3,8,8,50
7,12,10,6,50
8,12,10,5,50
12,12,7,5,50
10,10,4,10,50
3,12,8,12,50
5,12,8,3,50
7,12,5,12,50
12,7,12,4,50
8,12,4,3,50
8,5,8,8,50
8,6,12,10,50
12,5,5,8,50
8,12,6,12,50
12,12,3,12,50
10,12,6,3,50
12,8,10,3,50
10,5,10,8,50
4,10,12,8,50
8,6,8,12,50
12,8,12,12,50
5,12,4,10,50
7,8,7,8,50
8,7,12,12,50
10,7,12,3,50
4,10,8,10,50
6,12,5,10,50
12,10,6,3,50
12,8,6,10,50
10,4,8,7,50
10,8,3,6,50
7,10,3,8,50
5,7,10,8,50
8,8,5,12,50
7,12,12,5,50
10,8,4,7,50
4,12,4,10,50
10,10,7,5,50
12,12,10,6,50
10,8,7,12,50
8,10,5,10,50
6,7,7,12,50
5,10,5,12,50
12,3,7,10,50
10,12,8,3,50
7,12,8,12,50
10,3,10,5,50
6,10,6,12,50
10,10,3,12,50
6,12,12,4,50
8,6,10,12,50
8,12,7,3,50
12,6,7,12,50
12,4,12,10,50
8,12,10,8,50
12,5,8,8,50
12,6,4,6,50
6,12,8,6,50
12,7,12,7,50
10,12,4,10,50
10,4,10,7,50
8,8,12,5,50
10,3,6,12,50
12,4,5,6,50
8,7,8,4,50
4,12,12,5,50
12,7,4,8,50
10,7,10,4,50
3,8,10,12,50
8,10,12,3,50
12,10,12,8,50
7,7,8,8,50
5,10,12,5,50
5,8,12,12,50
10,8,6,6,50
8,8,8,12,50
8,10,8,5,50
10,7,5,10,50
12,10,5,5,50
6,8,10,7,50
10,6,7,8,50
4,12,8,12,50
10,10,10,5,50
10,8,10,12,50
12,12,6,3,50
6,7,10,12,50
5,10,8,12,50
3,12,12,3,50
8,10,4,12,50
7,12,4,4,50
10,10,6,12,50
12,6,10,12,50
10,12,7,5,50
5,12,10,5,50
10,12,8,6,50
12,4,8,7,50
12,7,7,3,50
6,10,3,10,50
8,5,10,10,50
12,5,7,10,50
12,6,3,8,50
6,12,12,7,50
8,4,12,8,50
12,8,12,5,50
3,12,4,12,50
12,7,8,4,50
7,7,10,7,50
10,12,3,12,50
5,12,6,12,50
7,10,10,5,50
7,8,10,12,50
8,8,7,6,50
12,10,7,4,50
8,7,6,10,50
10,6,10,3,50
10,4,10,10,50
12,7,3,10,50
12,8,8,12,50
12,10,8,5,50
8,10,12,6,50
10,8,5,8,50
7,10,6,12,50
5,7,12,10,50
10,6,6,10,50
12,12,12,8,50
12,3,6,8,50
12,12,4,4,50
5,12,12,5,50
3,12,10,4,50
6,10,10,3,50
7,12,7,4,50
6,8,10,10,50
8,10,7,12,50
12,10,4,12,50
8,12,8,5,50
12,12,5,5,50
12,6,5,8,50
7,5,12,10,50
10,12,10,5,50
12,5,6,4,50
12,7,10,4,50
10,3,12,7,50
5,12,8,12,50
12,5,10,10,50
8,12,4,12,50
6,12,7,3,50
3,12,7,12,50
7,10,12,4,50
10,5,8,8,50
12,5,3,7,50
10,12,6,12,50
4,10,10,8,50
12,8,10,12,50
5,8,10,8,50
4,10,6,10,50
6,5,12,8,50
6,12,3,10,50
10,7,12,12,50
10,7,4,8,50
12,8,3,8,50
8,10,10,8,50
6,8,12,10,50
3,10,12,12,50
10,10,12,8,50
12,3,8,7,50
12,10,7,7,50
7,12,10,5,50
6,6,12,10,50
8,3,12,8,50
10,10,5,5,50
6,8,8,12,50
12,12,8,5,50
8,12,12,6,50
7,12,6,12,50
12,5,5,7,50
12,12,4,7,50
5,12,12,8,50
6,10,4,12,50
8,12,5,3,50
8,12,8,8,50
8,12,7,12,50
6,12,10,3,50
10,5,12,4,50
10,12,10,8,50
12,5,6,7,50
6,10,5,12,50
12,7,10,7,50
7,7,12,10,50
6,12,6,5,50
7,8,8,8,50
8,8,10,5,50
10,5,7,10,50
10,4,8,6,50
10,8,12,5,50
7,10,12,7,50
10,7,8,4,50
4,12,10,4,50
12,10,10,8,50
6,7,12,5,50
10,4,12,12,50
12,3,12,3,50
10,8,4,6,50
7,10,4,8,50
8,8,6,12,50
8,10,6,5,50
5,10,10,4,50
6,6,8,10,49
5,8,8,8,49
7,6,8,7,49
5,8,7,10,49
5,10,8,4,49
4,12,3,10,49
8,10,4,4,49
5,10,7,6,49
8,3,8,12,49
3,7,12,10,49
7,6,6,10,49
5,8,12,3,49
8,4,8,10,49
6,7,6,10,49
5,10,4,10,49
7,10,6,3,49
10,4,6,8,49
10,7,5,4,49
6,7,5,12,49
5,10,3,12,49
10,3,4,12,49
7,7,6,8,49
6,8,5,10,49
8,6,5,10,49
6,8,8,6,49
6,10,6,5,49
12,3,3,10,49
4,12,7,4,49
6,7,10,5,49
4,7,10,10,49
3,6,12,12,49
12,4,4,7,49
12,7,3,3,49
8,5,6,10,49
6,8,10,3,49
5,7,8,10,49
7,5,8,10,49
10,3,8,7,49
7,7,10,3,49
8,4,7,10,49
7,7,5,10,49
6,8,4,12,49
7,7,4,12,49
8,4,6,12,49
6,6,7,12,49
6,10,4,8,49
10,7,6,3,49
10,6,7,3,49
5,5,10,12,49
5,7,12,5,49
5,7,7,12,49
4,8,7,12,49
10,5,7,5,49
8,8,5,6,49
5,8,5,12,49
7,6,5,12,49
8,3,7,12,49
6,6,6,12,49
3,8,12,8,49
6,10,5,6,49
3,12,6,8,49
10,7,4,5,49
6,5,8,12,49
7,6,10,5,49
12,5,5,4,49
5,12,4,6,49
8,5,5,12,49
4,12,5,7,49
5,10,5,8,49
8,5,8,7,49
8,7,5,8,49
10,8,3,5,49
10,4,3,12,49
8,4,12,4,49
6,6,10,7,49
6,8,6,8,49
8,6,6,8,49
5,6,8,12,49
12,5,6,3,49
7,4,8,12,49
12,3,7,5,49
6,7,8,8,49
5,10,6,7,49
12,6,4,4,49
10,3,6,10,49
7,5,6,12,49
7,7,8,6,49
8,6,7,7,49
5,6,12,7,49
10,8,4,4,49
6,8,7,7,49
4,6,10,12,49
12,6,3,5,49
7,5,10,7,49
7,7,7,7,49
3,10,6,12,49
3,12,8,5,49
4,8,10,8,49
4,10,7,8,49
7,6,8,8,49
7,8,5,8,49
7,8,4,10,49
12,4,5,5,48
8,7,8,3,48
3,7,10,12,48
4,12,6,5,48
8,7,3,10,48
8,4,10,6,48
4,8,8,10,48
3,12,3,12,48
6,12,4,4,48
8,6,3,12,48
5,10,7,5,48
8,10,3,5,48
7,3,12,8,48
7,5,12,4,48
10,3,7,8,48
7,5,7,10,48
6,6,12,4,48
8,6,8,5,48
8,3,10,8,48
7,10,5,4,48
8,7,6,6,48
6,8,8,5,48
3,12,6,7,48
10,5,3,10,48
4,10,5,10,48
12,3,8,3,48
7,8,3,10,48
4,10,4,12,48
8,8,6,4,48
7,8,7,5,48
8,5,4,12,48
12,6,4,3,48
8,7,7,5,48
10,6,6,4,48
3,12,7,6,48
12,4,7,3,48
8,8,7,3,48
4,8,12,5,48
5,8,10,5,48
7,4,12,6,48
7,4,7,12,48
4,10,8,6,48
10,8,4,3,48
7,10,3,7,48
7,7,7,6,48
5,12,3,7,48
10,4,8,5,48
4,12,4,8,48
3,8,10,10,48
7,7,3,12,48
3,10,7,10,48
3,12,4,10,48
10,5,6,6,48
3,10,10,6,48
12,3,6,6,48
6,5,12,6,48
8,3,12,6,48
4,7,12,7,48
12,4,6,4,48
7,7,8,5,48
10,6,4,7,48
8,6,7,6,48
12,5,4,5,48
7,8,6,6,48
10,5,5,7,48
8,5,7,8,48
5,7,10,7,48
10,6,3,8,47
12,5,3,6,47
7,4,10,8,47
7,8,5,7,47
5,10,3,10,47
8,6,4,10,47
6,3,12,10,47
5,4,12,10,47
5,12,6,3,47
6,4,12,8,47
6,8,3,12,47
10,5,7,4,47
8,8,5,5,47
8,7,7,4,47
3,10,5,12,47
3,8,12,7,47
12,5,5,3,47
10,4,7,6,47
10,7,3,6,47
12,4,3,8,47
10,5,8,3,47
5,8,6,10,47
6,10,4,7,47
7,8,8,3,47
12,3,7,4,47
6,7,8,7,47
5,3,12,12,47
5,7,6,12,47
8,7,4,8,47
6,3,10,12,47
7,6,4,12,47
5,6,12,6,47
7,10,4,5,47
10,4,4,10,47
7,3,10,10,47
12,6,3,4,47
10,3,10,4,47
4,10,7,7,47
4,7,8,12,47
8,7,5,7,47
10,8,3,4,47
8,8,4,7,47
10,6,5,5,47
5,5,12,8,47
3,10,12,3,47
8,8,4,6,47
6,10,7,3,47
8,8,3,8,47
12,3,5,7,47
7,6,7,8,47
10,6,4,6,46
4,6,12,8,46
7,5,10,6,46
4,8,10,7,46
12,5,4,4,46
6,5,10,8,46
6,10,6,4,46
12,4,4,6,46
8,10,4,3,46
3,6,12,10,46
4,5,12,10,46
8,5,10,4,46
3,8,8,12,46
10,5,4,8,46
3,10,8,8,46
6,6,7,10,46
12,3,4,8,46
3,12,5,8,46
10,4,6,7,46
10,7,5,3,46
10,6,6,3,46
10,7,4,4,46
4,8,6,12,46
6,4,10,10,46
7,12,3,3,46
10,3,8,6,46
6,6,10,6,46
6,12,3,5,46
5,10,6,6,46
4,4,12,12,46
5,7,12,4,46
3,5,12,12,46
4,10,3,12,46
6,5,7,12,46
4,7,12,6,46
8,8,3,7,46
7,10,3,6,46
3,10,6,10,46
6,10,3,8,46
5,8,8,7,46
4,10,6,8,46
10,5,6,5,46
12,3,6,5,46
7,3,12,7,46
8,10,3,4,46
5,7,7,10,45
3,7,12,8,45
7,10,5,3,45
6,7,4,12,45
5,6,10,8,45
4,7,10,8,45
7,7,4,10,45
7,4,8,10,45
5,5,10,10,45
6,10,5,5,45
5,4,10,12,45
7,6,10,4,45
5,10,5,7,45
4,5,10,12,45
4,6,10,10,45
8,7,6,5,45
4,10,10,3,45
10,7,3,5,45
8,3,12,5,45
5,6,7,12,45
7,8,7,4,45
12,4,6,3,45
3,8,10,8,45
5,8,4,12,45
4,12,5,6,45
5,7,10,6,45
10,6,3,7,45
8,6,6,7,45
7,3,8,12,45
10,4,8,4,45
7,8,4,8,45
3,6,10,12,45
3,10,10,5,45
3,7,10,10,45
8,3,8,10,45
6,4,12,7,45
3,12,8,4,44
4,8,7,10,44
8,4,8,8,44
10,4,5,8,44
8,6,5,8,44
12,4,3,7,44
6,8,4,10,44
5,12,5,4,44
3,10,8,7,44
4,8,12,4,44
5,12,4,5,44
6,7,10,4,44
8,4,12,3,44
3,8,12,6,44
6,5,8,10,44
8,5,5,10,44
5,12,3,6,44
5,5,8,12,44
10,8,3,3,44
4,12,4,7,44
5,6,8,10,44
3,8,7,12,44
6,7,7,8,44
10,6,5,4,44
5,5,12,7,44
4,7,7,12,44
10,3,5,10,44
4,6,8,12,44
3,12,3,10,44
10,5,5,6,44
7,4,12,5,44
12,6,3,3,44
8,4,5,12,44
4,8,10,6,44
12,5,3,5,44
6,4,8,12,44
6,12,4,3,44
10,3,7,7,43
4,12,7,3,43
4,6,12,7,43
3,7,8,12,43
7,5,8,8,43
7,7,5,8,43
7,7,6,7,43
7,5,12,3,43
5,8,10,4,43
7,6,5,10,43
7,5,5,12,43
6,12,3,4,43
6,5,12,5,43
6,8,7,6,43
7,8,6,5,43
12,3,5,6,43
8,5,8,6,43
12,4,5,4,43
5,8,7,8,43
4,12,3,8,43
6,6,12,3,42
8,3,10,7,42
6,7,5,10,42
3,8,8,10,42
12,3,3,8,42
10,4,7,5,42
12,4,4,5,42
4,12,6,4,42
3,10,4,12,42
4,10,4,10,42
3,12,7,5,42
10,5,4,7,42
12,3,4,7,42
4,10,8,5,42
7,10,4,4,42
5,7,5,12,42
6,6,5,12,42
4,8,5,12,42
8,7,5,6,42
4,7,8,10,42
7,4,6,12,42
6,8,6,7,42
6,6,8,8,42
6,7,6,8,41
8,5,7,7,41
5,12,5,3,41
6,8,5,8,41
4,8,12,3,41
6,5,10,7,41
7,4,10,7,41
5,10,8,3,41
5,7,8,8,41
8,8,6,3,41
10,5,3,8,41
6,10,4,6,41
12,3,7,3,41
5,7,12,3,41
10,5,7,3,41
8,8,5,4,41
5,8,5,10,41
5,7,6,10,41
6,6,6,10,41
3,12,6,6,41
6,5,6,12,41
4,12,5,5,41
10,4,3,10,41
7,6,3,12,41
10,3,6,8,41
8,7,4,7,41
10,5,6,4,41
5,6,12,5,41
7,6,7,7,41
5,10,4,8,41
4,7,12,5,41
10,6,4,5,41
10,3,10,3,41
3,7,12,7,41
5,6,6,12,41
12,5,4,3,41
7,6,8,6,41
7,8,5,6,41
8,4,10,5,41
10,3,3,12,41
4,8,8,8,40
7,6,6,8,40
10,4,6,6,40
8,10,3,3,40
10,4,5,7,40
8,6,8,4,40
6,7,7,7,40
8,5,3,12,40
7,10,3,5,40
6,6,10,5,40
6,7,8,6,40
7,5,6,10,40
7,7,8,4,40
7,7,3,10,40
3,10,7,8,40
8,6,7,5,40
3,10,10,4,40
12,3,6,4,40
5,8,7,7,40
10,6,3,6,40
6,10,3,7,40
5,8,8,6,40
5,6,10,7,40
12,5,3,4,40
4,8,6,10,40
7,8,4,7,40
12,4,3,6,40
8,6,3,10,39
10,3,4,10,39
8,7,7,3,39
6,8,8,4,39
8,5,6,8,39
3,10,5,10,39
3,8,12,5,39
8,4,6,10,39
6,7,3,12,39
8,5,10,3,39
4,7,6,12,39
6,12,3,3,39
3,12,5,7,39
8,3,6,12,39
6,10,5,4,39
10,7,4,3,39
5,12,4,4,39
5,7,10,5,39
8,6,6,6,39
5,8,3,12,39
5,12,3,5,39
4,12,4,6,39
8,8,4,5,39
4,12,3,7,39
6,8,7,5,39
7,5,10,5,39
7,7,7,5,39
3,12,8,3,39
12,3,5,5,39
6,10,6,3,39
12,4,5,3,39
6,3,12,8,38
7,7,6,6,38
6,8,3,10,38
12,3,4,6,38
3,12,5,6,38
7,6,10,3,38
6,7,10,3,38
3,12,6,5,38
4,10,5,8,38
7,8,3,8,38
10,7,3,4,38
4,12,5,4,38
5,8,6,8,38
5,3,12,10,38
7,8,7,3,38
4,4,12,10,38
3,12,7,4,38
4,10,8,4,38
7,10,4,3,38
10,4,4,8,38
5,10,5,6,38
4,10,6,7,38
5,10,6,5,38
3,12,4,8,38
8,4,4,12,38
4,3,12,12,38
4,10,7,6,38
10,5,5,5,38
5,10,4,7,38
8,6,5,7,38
4,7,10,7,38
4,12,6,3,38
8,7,3,8,38
5,10,7,4,38
5,7,8,7,38
6,6,8,7,37
5,10,7,3,37
7,3,12,6,37
4,5,12,8,37
10,3,7,6,37
10,5,4,6,37
3,10,8,6,37
10,3,8,5,37
8,7,6,4,37
12,3,3,7,37
6,10,4,5,37
8,5,4,10,37
4,12,4,5,37
5,5,12,6,37
3,8,10,7,37
3,4,12,12,37
6,8,6,6,37
4,8,10,5,37
4,10,7,5,37
6,4,12,6,37
3,10,7,7,37
7,8,6,4,37
8,4,8,7,37
7,5,4,12,37
12,4,4,4,37
5,4,12,8,36
3,6,12,8,36
3,5,12,10,36
7,4,7,10,36
8,4,7,8,36
5,12,4,3,36
3,8,6,12,36
7,10,3,4,36
8,3,7,10,36
10,3,6,7,36
8,5,8,5,36
7,6,8,5,36
10,4,8,3,36
4,10,6,6,36
10,6,5,3,36
7,3,7,12,36
8,8,3,6,36
3,7,12,6,36
5,10,3,8,36
7,5,8,7,36
7,7,5,7,36
7,5,7,8,35
3,10,3,12,35
6,5,7,10,35
6,8,5,7,35
10,4,7,4,35
6,6,4,12,35
8,3,12,4,35
5,5,7,12,35
4,10,3,10,35
7,6,4,10,35
5,8,10,3,35
5,6,12,4,35
7,4,12,4,35
4,7,12,4,35
10,6,4,4,35
8,7,5,5,35
6,4,7,12,35
3,12,4,7,35
4,6,12,6,35
8,6,4,8,34
12,4,3,5,34
8,6,8,3,34
5,4,10,10,34
3,5,10,12,34
6,7,8,5,34
5,10,6,4,34
7,3,10,8,34
7,8,5,5,34
6,10,3,6,34
6,5,12,4,34
6,6,7,8,34
5,3,10,12,34
8,5,7,6,34
10,4,6,5,34
4,6,7,12,34
10,5,3,7,33
4,8,8,7,33
3,12,7,3,33
4,5,10,10,33
6,4,10,8,33
6,3,10,10,33
5,6,7,10,33
3,10,6,8,33
12,5,3,3,33
3,10,10,3,33
4,12,3,6,33
8,3,10,6,33
5,7,4,12,33
4,4,10,12,33
4,10,5,7,32
5,6,10,6,32
7,7,4,8,32
8,8,5,3,32
5,10,5,5,32
4,6,10,8,32
5,12,3,4,32
8,7,4,6,32
12,3,6,3,32
7,6,7,6,32
10,3,5,8,32
5,8,8,5,32
7,8,4,6,32
5,5,10,8,32
7,4,10,6,32
8,5,6,7,32
6,7,4,10,32
3,8,12,4,32
4,7,10,6,31
8,7,3,7,31
6,8,4,8,31
6,10,5,3,31
4,7,7,10,31
5,8,4,10,31
3,7,7,12,31
3,12,3,8,31
10,6,3,5,31
8,8,4,4,31
5,8,7,6,31
5,7,7,8,31
6,5,10,6,31
8,4,10,4,31
7,8,3,7,30
7,6,6,7,30
6,8,8,3,30
6,7,7,6,30
8,3,5,12,30
3,6,10,10,30
7,7,8,3,30
10,4,5,6,30
3,12,5,5,29
4,10,8,3,29
7,5,5,10,29
6,6,10,4,29
3,12,6,4,29
8,5,5,8,29
10,7,3,3,29
4,8,4,12,29
7,5,10,4,29
5,7,10,4,29
8,4,5,10,29
8,6,7,4,29
10,5,6,3,29
3,7,10,8,29
7,3,12,5,29
7,4,5,12,29
3,10,8,5,28
4,12,5,3,28
3,8,7,10,28
6,8,7,4,28
12,3,5,4,28
6,5,5,12,28
4,8,10,4,28
6,3,8,12,28
7,3,8,10,28
6,3,12,7,28
5,4,12,7,28
6,7,6,7,28
6,4,12,5,28
12,3,4,5,28
4,8,7,8,28
12,3,3,6,27
12,4,4,3,27
3,10,4,10,27
6,10,4,4,27
7,3,6,12,27
7,4,12,3,27
10,4,4,7,27
8,3,12,3,27
5,5,12,5,27
3,12,4,6,27
7,7,7,4,27
8,8,3,5,27
5,10,4,6,27
8,6,6,5,27
4,10,7,4,27
8,4,3,12,27
5,4,8,12,27
10,3,3,10,27
7,4,8,8,26
4,10,4,8,26
4,12,4,4,26
7,7,6,5,26
6,5,8,8,26
7,10,3,3,26
6,5,12,3,26
3,8,10,6,26
3,10,7,6,26
10,5,5,4,26
5,6,5,12,26
6,4,8,10,26
4,5,12,7,26
8,3,8,8,26
8,4,8,6,26
7,6,5,8,26
10,3,8,4,26
8,7,6,3,26
7,5,8,6,25
6,6,5,10,25
5,5,8,10,25
6,4,6,12,25
6,10,3,5,25
7,8,6,3,25
5,6,12,3,25
6,8,6,5,25
3,6,12,7,25
8,6,5,6,25
8,5,8,4,24
8,7,5,4,24
4,7,12,3,24
3,12,3,7,24
5,10,3,7,24
4,5,8,12,24
7,7,5,6,24
5,12,3,3,23
3,6,8,12,23
3,8,5,12,23
10,5,4,5,23
8,3,6,10,23
8,5,3,10,23
10,4,3,8,23
7,4,6,10,23
4,12,3,5,23
7,8,5,4,23
4,7,5,12,23
7,5,3,12,23
6,6,8,6,23
12,4,3,4,23
10,3,7,5,23
8,5,7,5,23
6,7,5,8,23
8,4,7,7,23
3,7,8,10,22
10,4,7,3,22
6,4,10,7,22
3,12,6,3,22
5,8,6,7,22
5,10,6,3,22
4,8,5,10,22
3,10,6,7,22
5,6,8,8,22
8,7,4,5,22
4,6,8,10,22
7,6,8,4,22
7,5,7,7,22
6,8,5,6,22
5,7,8,6,21
8,6,4,7,21
10,5,3,6,21
7,3,10,7,21
5,7,5,10,21
7,6,3,10,21
4,10,6,5,21
10,3,6,6,21
10,6,4,3,21
7,4,10,5,21
5,5,6,12,21
8,3,10,5,21
4,6,12,5,21
3,8,12,3,20
5,8,5,8,20
5,8,8,4,20
6,7,8,4,20
8,3,4,12,20
7,8,4,5,20
8,6,7,3,20
8,8,4,3,20
7,6,7,5,20
7,5,10,3,20
7,7,7,3,20
3,7,12,5,20
3,10,5,8,20
8,4,10,3,20
10,6,3,4,20
6,6,3,12,20
5,7,3,12,20
4,8,3,12,20
7,7,4,7,20
3,8,8,8,20
3,12,5,4,19
6,5,6,10,19
5,10,5,4,19
4,10,5,6,19
8,4,6,8,19
7,8,3,6,19
7,7,3,8,19
6,7,7,5,19
10,3,5,7,19
4,7,8,8,19
7,5,6,8,19
6,8,7,3,19
6,5,10,5,19
12,3,5,3,19
8,5,6,6,19
8,7,3,6,19
4,8,8,6,19
6,6,7,7,19
8,6,3,8,19
6,6,6,8,19
12,3,4,4,18
6,8,3,8,18
4,8,7,7,18
6,7,3,10,18
5,7,6,8,18
3,3,12,12,18
8,6,6,4,18
3,7,6,12,18
8,8,3,4,18
10,4,5,5,18
4,6,6,12,18
4,8,6,8,18
6,8,4,7,18
4,10,4,7,18
6,7,6,6,18
10,4,6,4,18
5,7,7,7,18
10,3,8,3,17
7,4,4,12,17
4,7,6,10,17
6,10,4,3,17
3,4,12,10,17
6,6,10,3,17
4,10,7,3,17
5,8,3,10,17
6,3,12,6,17
5,8,7,5,17
5,6,6,10,17
5,10,4,5,17
5,8,6,6,17
7,6,6,6,17
7,3,12,4,17
5,5,10,7,17
10,3,4,8,17
7,7,6,4,17
3,10,8,4,17
3,10,3,10,16
5,8,5,7,16
7,6,5,7,16
5,6,4,12,16
12,3,3,5,16
8,5,5,7,16
3,8,6,10,16
6,6,4,10,16
4,12,4,3,16
4,10,3,8,16
6,8,6,4,16
6,5,4,12,16
8,7,5,3,16
6,10,3,4,16
6,3,7,12,16
4,3,12,10,16
8,3,8,7,16
7,3,7,10,16
6,4,12,4,16
3,10,7,5,16
10,5,5,3,16
8,4,8,5,16
6,7,5,7,16
7,5,4,10,16
10,5,4,4,16
6,7,8,3,15
5,3,12,8,15
8,5,4,8,15
4,8,4,10,15
7,6,4,8,15
8,5,8,3,15
5,7,10,3,15
7,6,8,3,15
8,4,4,10,15
4,7,4,12,15
5,7,4,10,15
8,6,5,5,15
5,6,10,5,15
5,4,12,6,15
10,3,7,4,15
6,5,8,7,14
3,10,6,6,14
7,4,8,7,14
10,3,6,5,14
4,4,12,8,14
3,12,4,5,14
4,12,3,4,14
10,4,4,6,14
7,8,5,3,14
5,10,3,6,14
4,10,6,4,14
6,4,7,10,14
4,3,10,12,14
7,7,5,5,14
6,6,8,5,14
12,4,3,3,14
6,8,5,5,13
5,4,7,12,13
8,3,7,8,13
4,6,10,7,13
5,8,4,8,13
4,8,10,3,13
3,12,3,6,13
7,8,4,4,13
6,8,4,6,13
8,3,10,4,13
6,7,4,8,13
7,5,8,5,13
7,8,3,5,13
3,5,12,8,13
7,7,4,6,13
8,6,3,7,12
6,3,10,8,12
7,4,7,8,12
8,4,7,6,12
10,4,3,7,12
5,6,8,7,12
5,5,12,4,12
3,8,10,5,12
5,5,7,10,12
8,7,4,4,12
7,6,7,4,12
7,3,10,6,12
4,5,7,12,12
10,6,3,3,12
5,8,8,3,12
8,5,7,4,12
6,8,3,7,12
7,4,10,4,12
3,4,10,12,12
4,7,10,5,12
8,6,4,6,12
4,10,5,5,12
8,4,6,7,12
3,7,10,7,12
8,7,3,5,12
7,5,7,6,12
5,10,5,3,11
8,6,6,3,11
7,5,6,7,11
7,7,3,7,11
5,6,7,8,11
3,7,7,10,11
8,8,3,3,11
5,10,4,4,11
8,3,5,10,11
3,6,7,12,11
3,8,4,12,11
5,3,10,10,11
10,4,6,3,11
7,7,6,3,11
4,6,12,4,11
4,6,7,10,11
3,7,12,4,11
7,3,5,12,11
6,4,10,6,11
3,10,5,7,11
5,7,8,5,11
10,5,3,5,11
3,6,12,6,11
7,6,6,5,10
4,10,4,6,10
6,5,7,8,10
3,10,8,3,10
4,6,10,6,10
4,7,8,7,10
6,7,7,4,10
4,7,7,8,10
8,4,5,8,10
5,10,3,5,10
4,7,10,4,10
4,8,8,5,10
6,6,7,6,10
3,7,10,6,10
3,8,8,7,10
5,7,7,6,10
8,5,6,5,10
8,5,5,6,10
4,5,12,6,10
3,8,7,8,9
3,8,10,4,9
6,6,6,7,9
10,5,4,3,9
5,3,8,12,9
7,5,5,8,9
3,5,10,10,9
6,10,3,3,9
3,10,7,4,9
10,3,5,6,9
7,4,5,10,9
5,6,10,4,9
3,6,10,8,9
7,7,5,4,9
7,3,12,3,9
8,3,8,6,9
5,5,10,6,9
4,4,10,10,9
12,3,4,3,9
3,12,5,3,9
4,8,7,6,9
6,5,10,4,9
7,6,5,6,9
10,4,5,4,9
8,6,5,4,9
4,10,3,7,8
5,4,10,8,8
10,4,4,5,8
4,5,10,8,8
4,10,6,3,8
5,8,7,4,8
8,7,4,3,8
3,12,4,4,8
4,4,8,12,8
6,8,6,3,8
7,3,8,8,8
3,10,4,8,8
10,3,4,7,8
10,3,7,3,8
8,4,8,4,8
6,8,5,4,8
6,4,5,12,8
6,6,5,8,8
12,3,3,4,8
7,4,8,6,7
8,3,7,7,7
8,5,4,7,7
4,4,12,7,7
3,5,12,7,7
3,12,3,5,7
10,4,3,6,7
5,7,6,7,7
4,12,3,3,7
6,5,5,10,7
6,3,8,10,7
7,5,8,4,7
8,6,4,5,7
10,5,3,4,7
6,7,6,5,7
3,6,12,5,7
8,7,3,4,7
4,5,12,5,7
8,5,7,3,7
6,7,5,6,7
8,4,7,5,7
3,7,8,8,7
4,8,6,7,7
4,10,5,4,7
5,8,6,5,7
5,3,12,7,6
3,6,8,10,6
